"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3379045","TBX10",0.181600000000001,6.3376,1.8935574088461,0.0639619583554721,0.122074869193495,-5.23713850139375
"3123675","PPP1R3B",0.22,7.0628,1.89346539797467,0.0639744461915849,0.122086488150327,-5.23730299409551
"2324873","C1QC",0.395200000000001,10.2844,1.89339251158947,0.0639843398986489,0.122093154737084,-5.23743329201971
"3855104","CRLF1",-0.0964000000000018,7.6958,-1.89325104541828,0.0640035464411791,0.122117588708935,-5.23768617660525
"3279313","ITGA8",-0.249999999999999,6.1518,-1.89273805913536,0.0640732345475258,0.122238326055466,-5.23860305214702
"2461717","TOMM20",0.295999999999998,7.6508,1.89262421168899,0.0640887092265196,0.122255621720509,-5.23880650582327
"3982975","POU3F4",-0.0848000000000004,6.086,-1.89208692531098,0.0641617825954219,0.122382109827779,-5.23976653240186
"3416353","HOXC8",0.2392,7.472,1.89204235390094,0.0641678476880609,0.122382109827779,-5.23984616224579
"3475350","LINC01089",0.191600000000001,7.345,1.89141427344295,0.0642533661036658,0.122532961290966,-5.24096809746262
"2427566","KCNA2",-0.113599999999999,6.2936,-1.89134416782655,0.0642629175775845,0.1225389260006,-5.24109330652464
"3688539","VN1R3",-0.129200000000001,3.3622,-1.89115486638605,0.0642887148036444,0.122575864427218,-5.24143137994188
"3918953","LINC00649",0.240400000000003,6.5158,1.89082019249522,0.0643343443280904,0.122650604877339,-5.24202900214716
"2902559","CSNK2B",0.200400000000002,11.1878,1.88969474871437,0.0644879895772219,0.122914204621902,-5.24403801703015
"3728820","PPM1E",0.1516,5.4674,1.88966583191226,0.0644919413955032,0.122914204621902,-5.24408962235277
"3558290","SDR39U1",-0.112800000000001,7.4016,-1.88948350239388,0.0645168635903436,0.122949419565374,-5.24441499433139
"3373212","OR4C11",-0.106,3.9106,-1.88941659732289,0.064526010739962,0.122954568062683,-5.24453438141334
"2405250","FNDC5",-0.131199999999998,6.2868,-1.8892267698043,0.0645519696402867,0.122979463982633,-5.244873094409
